waktu,profil,server_ip,ip_publik,negara,org,http_status,diblokir,alasan,nomor_referensi,byte_html,file_html,file_png
2026-08-19T05:38:45Z,af-02.protonvpn.net,,79.135.105.3,FR,AS212238 Datacamp Limited,200,yes,akamai-deny,18.5aae3017.1787117937.a9b28e35,5627,probe-out/proton-af-02.html,probe-out/proton-af-02.png
2026-08-19T05:39:24Z,af-03.protonvpn.net,,74.118.126.2,GB,AS9009 M247 Europe SRL,200,yes,akamai-deny,18.d53e1202.1787117967.41d9cae9,5627,probe-out/proton-af-03.html,probe-out/proton-af-03.png
2026-08-19T05:39:53Z,node-am-01.protonvpn.net,,89.249.72.5,RO,AS9009 M247 Europe SRL,200,yes,akamai-deny,18.5f667b5c.1787117997.149401fc,5627,probe-out/proton-node-am-01.html,probe-out/proton-node-am-01.png
2026-08-19T05:40:23Z,az-01.protonvpn.net,,45.83.124.3,RO,AS212238 Datacamp Limited,200,yes,akamai-deny,18.5e667b5c.1787118027.145fbcdd,5627,probe-out/proton-az-01.html,probe-out/proton-az-01.png
2026-08-19T05:41:13Z,node-bn-01.protonvpn.net,,109.111.197.133,SG,AS9009 M247 Europe SRL,200,yes,akamai-deny,18.1e052c17.1787118075.2aec41db,5627,probe-out/proton-node-bn-01.html,probe-out/proton-node-bn-01.png
2026-08-19T05:41:41Z,node-kh-01.protonvpn.net,,188.215.235.85,SG,AS9009 M247 Europe SRL,200,yes,akamai-deny,18.11154b17.1787118106.e4a1e2a1,5627,probe-out/proton-node-kh-01.html,probe-out/proton-node-kh-01.png
2026-08-19T05:42:06Z,id-02.protonvpn.net,,146.70.14.21,ID,AS9009 M247 Europe SRL,200,no,Jual Beli Mobil Bekas Murah & Cari Mobil Bekas di Indonesia ,,1616639,probe-out/proton-id-02.html,probe-out/proton-id-02.png
2026-08-19T05:42:31Z,node-id-02.protonvpn.net,,146.70.14.45,ID,AS9009 M247 Europe SRL,200,no,Jual Beli Mobil Bekas Murah & Cari Mobil Bekas di Indonesia ,,1617346,probe-out/proton-node-id-02.html,probe-out/proton-node-id-02.png
2026-08-19T05:43:33Z,node-id-03.protonvpn.net,,103.120.66.229,ID,AS137373 PT. SUITEN INOVASI SUKSES,200,no,Jual Beli Mobil Bekas Murah & Cari Mobil Bekas di Indonesia ,,1616017,probe-out/proton-node-id-03.html,probe-out/proton-node-id-03.png
2026-08-19T05:44:39Z,node-la-01.protonvpn.net,,109.111.197.5,SG,AS9009 M247 Europe SRL,200,yes,akamai-deny,18.c67c3617.1787118281.a55e9dbf,5627,probe-out/proton-node-la-01.html,probe-out/proton-node-la-01.png
2026-08-19T05:45:07Z,node-my-01.protonvpn.net,,37.0.12.229,MY,AS206804 EstNOC OU,,error,page.goto: net::ERR_TUNNEL_CONNECTION_FAILED at https://www.olx.co.id/mobil-bekas_c198,,0,probe-out/proton-node-my-01.html,probe-out/proton-node-my-01.png
2026-08-19T05:45:38Z,my-09.protonvpn.net,,45.83.126.3,SG,AS212238 Datacamp Limited,200,no,Jual Beli Mobil Bekas Murah & Cari Mobil Bekas di Indonesia ,,1628689,probe-out/proton-my-09.html,probe-out/proton-my-09.png
2026-08-19T05:46:03Z,node-my-01.protonvpn.net,,37.0.12.229,MY,AS206804 EstNOC OU,200,no,Jual Beli Mobil Bekas Murah & Cari Mobil Bekas di Indonesia ,,1628959,probe-out/proton-node-my-01.html,probe-out/proton-node-my-01.png
2026-08-19T05:46:27Z,node-my-02.protonvpn.net,,205.147.27.3,MY,AS208172 Proton AG,200,no,Jual Beli Mobil Bekas Murah & Cari Mobil Bekas di Indonesia ,,1623159,probe-out/proton-node-my-02.html,probe-out/proton-node-my-02.png
2026-08-19T05:47:25Z,node-my-03.protonvpn.net,,205.147.27.33,MY,AS208172 Proton AG,200,no,Jual Beli Mobil Bekas Murah & Cari Mobil Bekas di Indonesia ,,1623158,probe-out/proton-node-my-03.html,probe-out/proton-node-my-03.png
2026-08-19T05:47:55Z,node-mm-01.protonvpn.net,,212.30.60.3,SG,AS212238 Datacamp Limited,,error,page.goto: net::ERR_TUNNEL_CONNECTION_FAILED at https://www.olx.co.id/mobil-bekas_c198,,0,probe-out/proton-node-mm-01.html,probe-out/proton-node-mm-01.png
